"p","y","t","fip_title","c","q","res"
"F2","2021","F2","SeaDataNET_CDI_FIP_2021","SeaDataNet-CDI","F2","SensorML"
"F2","2019","F2","SeaDataNET_Sextant_FIP_2019","SeaDataNet-Sextant","F2","ISO_19115"
"F2","2020","F2","SeaDataNET_Sextant_FIP_2020","SeaDataNet-Sextant","F2","ISO_19115"
"F2","2021","F2","SeaDataNET_Sextant_FIP_2021","SeaDataNet-Sextant","F2","ISO_19115"
"F2","2019","F2","eLTER_FIP_2019","eLTER-RI","F2","ISO_19115"
"F2","2020","F2","eLTER_FIP_2020","eLTER-RI","F2","ISO_19115"
"F2","2019","F2","eLTER_FIP_2019","eLTER-RI","F2","ISO_19139"
"F2","2020","F2","eLTER_FIP_2020","eLTER-RI","F2","ISO_19139"
"F2","2021","F2","eLTER_FIP_2021","eLTER-RI","F2","ISO_19115"
"F2","2021","F2","eLTER_FIP_2021","eLTER-RI","F2","ISO_19139"
"F2","2020","F2","IAGOS_FIP_2020","iagos","F2","ISO_19115"
"F2","2021","F2","IAGOS_FIP_2021","iagos","F2","ISO_19115"
"F2","2019","F2","IAGOS_FIP_2019","iagos","F2","ISO_19115"
"F2","2020","F2","IAGOS_FIP_2020","iagos","F2","datacite_metadata_scheme"
"F2","2021","F2","IAGOS_FIP_2021","iagos","F2","datacite_metadata_scheme"
"F2","2020","F2","IAGOS_FIP_2020","iagos","F2","ISO_19139"
"F2","2021","F2","IAGOS_FIP_2021","iagos","F2","ISO_19139"
"F2","2019","F2","IAGOS_FIP_2019","iagos","F2","ISO_19139"
"F2","2020","F2","IAGOS_FIP_2020","iagos","F2","wmo-core-profile"
"F2","2021","F2","IAGOS_FIP_2021","iagos","F2","wmo-core-profile"
"F2","2019","F2","IAGOS_FIP_2019","iagos","F2","datacite_metadata_scheme"
"F2","2019","F2","LifeWatch_Marine_FIP_2019","lw-marine","F2","EML_GBIF_Profile"
"F2","2020","F2","LifeWatch_Marine_FIP_2020","lw-marine","F2","EML_GBIF_Profile"
"F2","2021","F2","LifeWatch_Marine_FIP_2021","lw-marine","F2","EML_GBIF_Profile"
"F2","2019","F2","LifeWatch_Marine_FIP_2019","lw-marine","F2","ISO_19115"
"F2","2020","F2","LifeWatch_Marine_FIP_2020","lw-marine","F2","ISO_19115"
"F2","2021","F2","LifeWatch_Marine_FIP_2021","lw-marine","F2","ISO_19115"
"F2","2019","F2","LifeWatch_Marine_FIP_2019","lw-marine","F2","datacite_metadata_scheme"
"F2","2020","F2","LifeWatch_Marine_FIP_2020","lw-marine","F2","datacite_metadata_scheme"
"F2","2021","F2","LifeWatch_Marine_FIP_2021","lw-marine","F2","datacite_metadata_scheme"
"F2","2019","F2","LifeWatch_Marine_FIP_2019","lw-marine","F2","schema.org-dataset"
"F2","2020","F2","LifeWatch_Marine_FIP_2020","lw-marine","F2","schema.org-dataset"
"F2","2021","F2","LifeWatch_Marine_FIP_2021","lw-marine","F2","schema.org-dataset"
"F2","2020","F2","LifeWatch_Marine_FIP_2020","lw-marine","F2","DCAT-AP"
"F2","2021","F2","LifeWatch_Marine_FIP_2021","lw-marine","F2","DCAT-AP"
"F2","2020","F2","LifeWatch_Marine_FIP_2020","lw-marine","F2","INSOIRE-EF"
"F2","2021","F2","LifeWatch_Marine_FIP_2021","lw-marine","F2","INSOIRE-EF"
"F2","2021","F2","SIOS_FIP_2021","sios","F2","ISO_19115"
"F2","2019","F2","SIOS_FIP_2019","sios","F2","mmd"
"F2","2021","F2","SIOS_FIP_2021","sios","F2","mmd"
"F2","2020","F2","SIOS_FIP_2020","sios","F2","mmd"
"F2","2021","F2","SIOS_FIP_2021","sios","F2","DIF"
"F2","2019","F2","SIOS_FIP_2019","sios","F2","ISO_19115"
"F2","2020","F2","SIOS_FIP_2020","sios","F2","ISO_19115"
"F2","2020","F2","SIOS_FIP_2020","sios","F2","wmo-core-profile"
"F2","2019","F2","SIOS_FIP_2019","sios","F2","DIF"
"F2","2020","F2","SIOS_FIP_2020","sios","F2","DIF"
"F3","2021","F3","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F3","Handle_System"
